doc_id,pdf_path,pdf_size_bytes,mineru_elapsed_seconds,label_elapsed_seconds,mineru_return_code,label_return_code,raw_output_size_bytes,raw_output_size_human,model_blocks,model_contentful_blocks,model_type_counter,label_blocks,label_type_counter,inference_elements,inference_type_counter,inference_title_level_counter,tree_nodes,tree_max_depth,tree_type_counter,mineru_inner_dir,popo_label_json,popo_infer_json,popo_tree_json,popo_tree_txt
text01,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text01.pdf,7822375,247.079,0.412,0,0,67108850,64.00MB,3051,3034,"{""caption"": 153, ""image"": 79, ""table"": 195, ""text"": 2203, ""title"": 421}",3051,"{""aside_text"": 4, ""footer"": 7, ""header"": 299, ""image"": 79, ""image_caption"": 1, ""page_number"": 275, ""table"": 195, ""table_caption"": 141, ""table_footnote"": 11, ""text"": 1618, ""title"": 421}",3051,"{""aside_text"": 4, ""footer"": 7, ""header"": 299, ""image"": 79, ""image_caption"": 1, ""page_number"": 275, ""table"": 195, ""table_caption"": 141, ""table_footnote"": 11, ""text"": 1618, ""title"": 421}","{""-1"": 8, ""1"": 13, ""2"": 32, ""3"": 49, ""4"": 71, ""5"": 43, ""6"": 94, ""7"": 86, ""8"": 21, ""9"": 4}",1204,9,"{""aside_text"": 4, ""footer"": 7, ""header"": 299, ""image"": 79, ""page_number"": 275, ""root"": 1, ""table"": 126, ""text"": 413}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text01/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text01.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text01.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text01.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text01.txt
text02,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text02.pdf,7222422,216.086,0.4,0,0,57663363,54.99MB,3029,3018,"{""caption"": 194, ""image"": 43, ""table"": 162, ""text"": 2181, ""title"": 449}",3029,"{""footer"": 1, ""header"": 505, ""image"": 43, ""image_caption"": 7, ""image_footnote"": 2, ""page_number"": 237, ""table"": 162, ""table_caption"": 141, ""table_footnote"": 44, ""text"": 1438, ""title"": 449}",3029,"{""footer"": 1, ""header"": 505, ""image"": 43, ""image_caption"": 7, ""image_footnote"": 2, ""page_number"": 237, ""table"": 162, ""table_caption"": 141, ""table_footnote"": 44, ""text"": 1438, ""title"": 449}","{""-1"": 4, ""1"": 9, ""10"": 6, ""2"": 26, ""3"": 33, ""4"": 84, ""5"": 53, ""6"": 72, ""7"": 90, ""8"": 48, ""9"": 24}",1345,10,"{""footer"": 1, ""header"": 505, ""image"": 43, ""page_number"": 237, ""root"": 1, ""table"": 113, ""text"": 445}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text02/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text02.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text02.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text02.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text02.txt
text03,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text03.pdf,13443633,223.338,0.381,0,0,75033724,71.56MB,2846,2832,"{""caption"": 158, ""image"": 65, ""table"": 164, ""text"": 1989, ""title"": 470}",2846,"{""aside_text"": 2, ""footer"": 5, ""header"": 243, ""image"": 65, ""image_caption"": 8, ""page_footnote"": 2, ""page_number"": 236, ""table"": 164, ""table_caption"": 121, ""table_footnote"": 29, ""text"": 1501, ""title"": 470}",2846,"{""aside_text"": 2, ""footer"": 5, ""header"": 243, ""image"": 65, ""image_caption"": 8, ""page_footnote"": 2, ""page_number"": 236, ""table"": 164, ""table_caption"": 121, ""table_footnote"": 29, ""text"": 1501, ""title"": 470}","{""-1"": 5, ""1"": 12, ""10"": 5, ""2"": 18, ""3"": 42, ""4"": 59, ""5"": 87, ""6"": 74, ""7"": 77, ""8"": 68, ""9"": 23}",1125,10,"{""aside_text"": 2, ""footer"": 5, ""header"": 243, ""image"": 65, ""page_footnote"": 2, ""page_number"": 236, ""root"": 1, ""table"": 106, ""text"": 465}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text03/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text03.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text03.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text03.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text03.txt
text04,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text04.pdf,13821429,371.512,0.6,0,0,161262669,153.79MB,4615,4597,"{""caption"": 233, ""image"": 49, ""table"": 424, ""text"": 3179, ""title"": 730}",4615,"{""footer"": 1, ""header"": 990, ""image"": 49, ""image_caption"": 15, ""page_number"": 494, ""table"": 424, ""table_caption"": 142, ""table_footnote"": 76, ""text"": 1694, ""title"": 730}",4615,"{""footer"": 1, ""header"": 990, ""image"": 49, ""image_caption"": 15, ""page_number"": 494, ""table"": 424, ""table_caption"": 142, ""table_footnote"": 76, ""text"": 1694, ""title"": 730}","{""1"": 27, ""10"": 71, ""11"": 75, ""12"": 41, ""13"": 12, ""14"": 10, ""2"": 23, ""3"": 49, ""4"": 115, ""5"": 92, ""6"": 45, ""7"": 56, ""8"": 74, ""9"": 40}",2468,15,"{""footer"": 1, ""header"": 990, ""image"": 49, ""page_number"": 494, ""root"": 1, ""table"": 203, ""text"": 730}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text04/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text04.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text04.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text04.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text04.txt
text05,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text05.pdf,6211838,297.404,0.479,0,0,95548187,91.12MB,4457,4449,"{""caption"": 301, ""image"": 27, ""table"": 386, ""text"": 2902, ""title"": 841}",4457,"{""header"": 772, ""image"": 27, ""image_caption"": 14, ""image_footnote"": 7, ""page_number"": 385, ""table"": 386, ""table_caption"": 195, ""table_footnote"": 85, ""text"": 1745, ""title"": 841}",4457,"{""header"": 772, ""image"": 27, ""image_caption"": 14, ""image_footnote"": 7, ""page_number"": 385, ""table"": 386, ""table_caption"": 195, ""table_footnote"": 85, ""text"": 1745, ""title"": 841}","{""-1"": 1, ""1"": 22, ""10"": 84, ""11"": 55, ""12"": 35, ""13"": 50, ""14"": 57, ""15"": 28, ""16"": 11, ""2"": 15, ""3"": 53, ""4"": 93, ""5"": 70, ""6"": 76, ""7"": 95, ""8"": 68, ""9"": 28}",2311,17,"{""header"": 772, ""image"": 27, ""page_number"": 385, ""root"": 1, ""table"": 285, ""text"": 841}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text05/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text05.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text05.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text05.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text05.txt
text06,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text06.pdf,6142229,251.422,0.495,0,0,88329824,84.24MB,2994,2978,"{""caption"": 209, ""image"": 36, ""table"": 318, ""text"": 1919, ""title"": 512}",2994,"{""equation"": 1, ""header"": 566, ""image"": 36, ""image_caption"": 5, ""image_footnote"": 3, ""page_footnote"": 2, ""page_number"": 282, ""table"": 318, ""table_caption"": 150, ""table_footnote"": 51, ""text"": 1068, ""title"": 512}",2994,"{""equation"": 1, ""header"": 566, ""image"": 36, ""image_caption"": 5, ""image_footnote"": 3, ""page_footnote"": 2, ""page_number"": 282, ""table"": 318, ""table_caption"": 150, ""table_footnote"": 51, ""text"": 1068, ""title"": 512}","{""-1"": 7, ""1"": 12, ""2"": 56, ""3"": 123, ""4"": 144, ""5"": 130, ""6"": 35, ""7"": 5}",1608,8,"{""header"": 566, ""image"": 36, ""page_footnote"": 2, ""page_number"": 282, ""root"": 1, ""table"": 216, ""text"": 505}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text06/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text06.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text06.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text06.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text06.txt
text07,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text07.pdf,1548649,217.843,0.397,0,0,50781471,48.43MB,2653,2652,"{""caption"": 152, ""image"": 6, ""table"": 276, ""text"": 1547, ""title"": 672}",2653,"{""equation"": 7, ""header"": 3, ""image"": 6, ""image_caption"": 1, ""page_number"": 259, ""table"": 276, ""table_caption"": 98, ""table_footnote"": 53, ""text"": 1278, ""title"": 672}",2653,"{""equation"": 7, ""header"": 3, ""image"": 6, ""image_caption"": 1, ""page_number"": 259, ""table"": 276, ""table_caption"": 98, ""table_footnote"": 53, ""text"": 1278, ""title"": 672}","{""-1"": 1, ""1"": 13, ""2"": 74, ""3"": 104, ""4"": 165, ""5"": 123, ""6"": 71, ""7"": 62, ""8"": 58, ""9"": 1}",1149,10,"{""header"": 3, ""image"": 6, ""page_number"": 259, ""root"": 1, ""table"": 209, ""text"": 671}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text07/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text07.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text07.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text07.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text07.txt
text08,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text08.pdf,8587842,333.308,0.574,0,0,95368749,90.95MB,5527,5516,"{""caption"": 285, ""image"": 31, ""table"": 376, ""text"": 3915, ""title"": 920}",5527,"{""equation"": 24, ""header"": 937, ""image"": 31, ""image_caption"": 16, ""image_footnote"": 5, ""page_number"": 467, ""table"": 376, ""table_caption"": 154, ""table_footnote"": 110, ""text"": 2487, ""title"": 920}",5527,"{""equation"": 24, ""header"": 937, ""image"": 31, ""image_caption"": 16, ""image_footnote"": 5, ""page_number"": 467, ""table"": 376, ""table_caption"": 154, ""table_footnote"": 110, ""text"": 2487, ""title"": 920}","{""-1"": 24, ""1"": 12, ""10"": 44, ""11"": 18, ""12"": 35, ""13"": 68, ""14"": 94, ""15"": 30, ""16"": 5, ""17"": 1, ""2"": 28, ""3"": 53, ""4"": 68, ""5"": 74, ""6"": 84, ""7"": 75, ""8"": 137, ""9"": 70}",2593,17,"{""header"": 937, ""image"": 31, ""page_number"": 467, ""root"": 1, ""table"": 261, ""text"": 896}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text08/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text08.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text08.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text08.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text08.txt
text09,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text09.pdf,8062120,250.645,0.422,0,0,77420451,73.83MB,3097,3084,"{""caption"": 200, ""image"": 37, ""table"": 302, ""text"": 1960, ""title"": 598}",3097,"{""header"": 562, ""image"": 37, ""image_caption"": 11, ""image_footnote"": 4, ""page_number"": 280, ""table"": 302, ""table_caption"": 134, ""table_footnote"": 51, ""text"": 1118, ""title"": 598}",3097,"{""header"": 562, ""image"": 37, ""image_caption"": 11, ""image_footnote"": 4, ""page_number"": 280, ""table"": 302, ""table_caption"": 134, ""table_footnote"": 51, ""text"": 1118, ""title"": 598}","{""1"": 12, ""2"": 40, ""3"": 123, ""4"": 154, ""5"": 127, ""6"": 88, ""7"": 40, ""8"": 10, ""9"": 4}",1686,10,"{""header"": 562, ""image"": 37, ""page_number"": 280, ""root"": 1, ""table"": 208, ""text"": 598}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text09/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text09.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text09.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text09.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text09.txt
text10,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text10.pdf,12595610,368.239,0.559,0,0,140841416,134.32MB,5153,5148,"{""caption"": 238, ""image"": 48, ""table"": 618, ""text"": 3107, ""title"": 1142}",5153,"{""equation"": 11, ""header"": 518, ""image"": 48, ""image_caption"": 6, ""image_footnote"": 4, ""page_footnote"": 4, ""page_number"": 513, ""table"": 618, ""table_caption"": 163, ""table_footnote"": 65, ""text"": 2061, ""title"": 1142}",5153,"{""equation"": 11, ""header"": 518, ""image"": 48, ""image_caption"": 6, ""image_footnote"": 4, ""page_footnote"": 4, ""page_number"": 513, ""table"": 618, ""table_caption"": 163, ""table_footnote"": 65, ""text"": 2061, ""title"": 1142}","{""-1"": 1, ""1"": 13, ""10"": 65, ""11"": 11, ""2"": 45, ""3"": 82, ""4"": 117, ""5"": 337, ""6"": 175, ""7"": 62, ""8"": 115, ""9"": 119}",2635,12,"{""header"": 518, ""image"": 48, ""page_footnote"": 4, ""page_number"": 513, ""root"": 1, ""table"": 410, ""text"": 1141}",/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/mineru_raw/vlm/text10/vlm,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/label_normalization/mineru/text10.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/inference/mineru_vlm/text10.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree/mineru_vlm/text10.json,/autodl-fs/data/mineru_popo_batch/financial_contracts/20260621_162932/popo_outputs/build_tree_txt/mineru_vlm/text10.txt
